class,metric,value,city
Water,ed,4.49,Adelaide
Trees,ed,18.633,Adelaide
Grass,ed,21.474,Adelaide
Flooded vegetation,ed,21.043,Adelaide
Crops,ed,28.223,Adelaide
Shrub and scrub,ed,32.626,Adelaide
Built,ed,23.664,Adelaide
Bare,ed,4.083,Adelaide
Snow and ice,ed,0.038,Adelaide
Water,pland,2.229,Adelaide
Trees,pland,8.438,Adelaide
Grass,pland,2.858,Adelaide
Flooded vegetation,pland,1.078,Adelaide
Crops,pland,7.978,Adelaide
Shrub and scrub,pland,3.769,Adelaide
Built,pland,71.835,Adelaide
Bare,pland,1.812,Adelaide
Snow and ice,pland,0.003,Adelaide
Water,ed,4.503,Perth
Trees,ed,32.552,Perth
Grass,ed,32.078,Perth
Flooded vegetation,ed,28.628,Perth
Crops,ed,34.462,Perth
Shrub and scrub,ed,44.054,Perth
Built,ed,32.976,Perth
Bare,ed,5.691,Perth
Snow and ice,ed,0.215,Perth
Water,pland,2.092,Perth
Trees,pland,16.94,Perth
Grass,pland,3.746,Perth
Flooded vegetation,pland,1.125,Perth
Crops,pland,1.992,Perth
Shrub and scrub,pland,5.06,Perth
Built,pland,66.929,Perth
Bare,pland,2.092,Perth
Snow and ice,pland,0.024,Perth
Water,ed,5.632,Darwin
Trees,ed,48.222,Darwin
Grass,ed,46.179,Darwin
Flooded vegetation,ed,42.836,Darwin
Crops,ed,46.903,Darwin
Shrub and scrub,ed,60.36,Darwin
Built,ed,29.776,Darwin
Bare,ed,6.305,Darwin
Snow and ice,ed,0.077,Darwin
Water,pland,2.631,Darwin
Trees,pland,30.253,Darwin
Grass,pland,3.621,Darwin
Flooded vegetation,pland,2.531,Darwin
Crops,pland,1.663,Darwin
Shrub and scrub,pland,20.224,Darwin
Built,pland,37.458,Darwin
Bare,pland,1.613,Darwin
Snow and ice,pland,0.006,Darwin
Water,ed,6.066,Brisbane
Trees,ed,42.066,Brisbane
Grass,ed,37.686,Brisbane
Flooded vegetation,ed,28.67,Brisbane
Crops,ed,28.766,Brisbane
Shrub and scrub,ed,35.562,Brisbane
Built,ed,34.906,Brisbane
Bare,ed,1.212,Brisbane
Snow and ice,ed,0.038,Brisbane
Water,pland,2.395,Brisbane
Trees,pland,30.395,Brisbane
Grass,pland,6.344,Brisbane
Flooded vegetation,pland,1.383,Brisbane
Crops,pland,1.523,Brisbane
Shrub and scrub,pland,1.824,Brisbane
Built,pland,55.766,Brisbane
Bare,pland,0.361,Brisbane
Snow and ice,pland,0.009,Brisbane
Water,ed,5.068,Sydney
Trees,ed,30.964,Sydney
Grass,ed,31.062,Sydney
Flooded vegetation,ed,22.289,Sydney
Crops,ed,23.775,Sydney
Shrub and scrub,ed,28.075,Sydney
Built,ed,28.281,Sydney
Bare,ed,1.681,Sydney
Snow and ice,ed,0.215,Sydney
Water,pland,1.758,Sydney
Trees,pland,24.012,Sydney
Grass,pland,7.362,Sydney
Flooded vegetation,pland,0.639,Sydney
Crops,pland,1.516,Sydney
Shrub and scrub,pland,1.305,Sydney
Built,pland,62.954,Sydney
Bare,pland,0.418,Sydney
Snow and ice,pland,0.036,Sydney
Water,ed,3.51,Canberra
Trees,ed,36.825,Canberra
Grass,ed,45.593,Canberra
Flooded vegetation,ed,36.332,Canberra
Crops,ed,40.679,Canberra
Shrub and scrub,ed,42.976,Canberra
Built,ed,22.647,Canberra
Bare,ed,0.959,Canberra
Snow and ice,ed,0.011,Canberra
Water,pland,2.356,Canberra
Trees,pland,17.89,Canberra
Grass,pland,20.083,Canberra
Flooded vegetation,pland,1.086,Canberra
Crops,pland,2.114,Canberra
Shrub and scrub,pland,6.425,Canberra
Built,pland,49.821,Canberra
Bare,pland,0.224,Canberra
Snow and ice,pland,0.001,Canberra
Water,ed,3.25,Melbourne
Trees,ed,23.587,Melbourne
Grass,ed,32.865,Melbourne
Flooded vegetation,ed,25.466,Melbourne
Crops,ed,26.307,Melbourne
Shrub and scrub,ed,26.856,Melbourne
Built,ed,24.798,Melbourne
Bare,ed,1.025,Melbourne
Snow and ice,ed,0.048,Melbourne
Water,pland,1.052,Melbourne
Trees,pland,12.461,Melbourne
Grass,pland,12.764,Melbourne
Flooded vegetation,pland,0.882,Melbourne
Crops,pland,4.271,Melbourne
Shrub and scrub,pland,1.19,Melbourne
Built,pland,67.101,Melbourne
Bare,pland,0.272,Melbourne
Snow and ice,pland,0.007,Melbourne
Water,ed,3.651,Rome
Trees,ed,35.783,Rome
Grass,ed,39.663,Rome
Flooded vegetation,ed,40.183,Rome
Crops,ed,43.813,Rome
Shrub and scrub,ed,38.441,Rome
Built,ed,32.304,Rome
Bare,ed,0.264,Rome
Water,pland,1.081,Rome
Trees,pland,11.7,Rome
Grass,pland,4.678,Rome
Flooded vegetation,pland,1.182,Rome
Crops,pland,11.385,Rome
Shrub and scrub,pland,1.659,Rome
Built,pland,68.268,Rome
Bare,pland,0.046,Rome
Water,ed,7.103,Vienna
Trees,ed,23.281,Vienna
Grass,ed,19.75,Vienna
Flooded vegetation,ed,17.554,Vienna
Crops,ed,22.603,Vienna
Shrub and scrub,ed,25.002,Vienna
Built,ed,22.067,Vienna
Bare,ed,0.553,Vienna
Snow and ice,ed,0.003,Vienna
Water,pland,4.005,Vienna
Trees,pland,24.613,Vienna
Grass,pland,1.809,Vienna
Flooded vegetation,pland,0.462,Vienna
Crops,pland,12.046,Vienna
Shrub and scrub,pland,0.768,Vienna
Built,pland,56.152,Vienna
Bare,pland,0.145,Vienna
Snow and ice,pland,0,Vienna
Water,ed,3.694,Lisbon
Trees,ed,15.462,Lisbon
Grass,ed,13.691,Lisbon
Flooded vegetation,ed,13.709,Lisbon
Crops,ed,18.589,Lisbon
Shrub and scrub,ed,23.308,Lisbon
Built,ed,25.086,Lisbon
Bare,ed,3.888,Lisbon
Snow and ice,ed,0.02,Lisbon
Water,pland,0.893,Lisbon
Trees,pland,11.166,Lisbon
Grass,pland,0.81,Lisbon
Flooded vegetation,pland,0.38,Lisbon
Crops,pland,1.829,Lisbon
Shrub and scrub,pland,1.605,Lisbon
Built,pland,81.781,Lisbon
Bare,pland,1.537,Lisbon
Snow and ice,pland,0.001,Lisbon
Water,ed,6.052,Berlin
Trees,ed,24.839,Berlin
Grass,ed,19.934,Berlin
Flooded vegetation,ed,18.567,Berlin
Crops,ed,19.743,Berlin
Shrub and scrub,ed,23.581,Berlin
Built,ed,22.384,Berlin
Bare,ed,0.477,Berlin
Snow and ice,ed,0.011,Berlin
Water,pland,5.643,Berlin
Trees,pland,27.17,Berlin
Grass,pland,2.305,Berlin
Flooded vegetation,pland,0.463,Berlin
Crops,pland,3.222,Berlin
Shrub and scrub,pland,0.734,Berlin
Built,pland,60.359,Berlin
Bare,pland,0.104,Berlin
Snow and ice,pland,0.001,Berlin
Water,ed,3.533,London
Trees,ed,32.777,London
Grass,ed,37.131,London
Flooded vegetation,ed,27.781,London
Crops,ed,27.539,London
Shrub and scrub,ed,24.303,London
Built,ed,26.668,London
