class,metric,value,species
Unclassified Land,pland,0.097,American_Kestrel
Barren Land,pland,3.26,American_Kestrel
Permanent Snow and Ice,pland,0.352,American_Kestrel
Water Bodies,pland,6.431,American_Kestrel
Evergreen Needleleaf Forests,pland,3.493,American_Kestrel
Evergreen Broadleaf Forests,pland,7.969,American_Kestrel
Deciduous Needleleaf Forests,pland,0.009,American_Kestrel
Deciduous Broadleaf Forests,pland,3.737,American_Kestrel
Mixed Broadleaf/Needleleaf Forests,pland,3.058,American_Kestrel
Mixed Broadleaf Evergreen/Deciduous Forests,pland,0.149,American_Kestrel
Open Forests,pland,13,American_Kestrel
Sparse Forests,pland,18.351,American_Kestrel
Dense Herbaceous,pland,31.814,American_Kestrel
Sparse Herbaceous,pland,2.094,American_Kestrel
Dense Shrublands,pland,0.17,American_Kestrel
Shrubland/Grassland Mosaics,pland,1.978,American_Kestrel
Sparse Shrublands,pland,4.037,American_Kestrel
Unclassified Land,pland,0.095,American_Kestrel
Barren Land,pland,3.231,American_Kestrel
Permanent Snow and Ice,pland,0.352,American_Kestrel
Water Bodies,pland,6.431,American_Kestrel
Urban and Built-up Lands,pland,0.838,American_Kestrel
Dense Forests,pland,18.408,American_Kestrel
Open Forests,pland,29.809,American_Kestrel
Forest/Cropland Mosaics,pland,1.05,American_Kestrel
Natural Herbaceous,pland,24.547,American_Kestrel
Natural Herbaceous/Cropland Mosaics,pland,0.005,American_Kestrel
Herbaceous Croplands,pland,9.073,American_Kestrel
Shrublands,pland,6.161,American_Kestrel
Unclassified Land,pland,0.097,American_Kestrel
Barren Land,pland,3.26,American_Kestrel
Permanent Snow and Ice,pland,0.352,American_Kestrel
Water Bodies,pland,6.431,American_Kestrel
Dense Forests,pland,18.293,American_Kestrel
Open Forests,pland,30.93,American_Kestrel
Woody Wetlands,pland,0.545,American_Kestrel
Grasslands,pland,33.148,American_Kestrel
Shrublands,pland,5.965,American_Kestrel
Herbaceous Wetlands,pland,0.394,American_Kestrel
Tundra,pland,0.585,American_Kestrel
Unclassified Land,pland,0,Banded_Kestrel
Barren Land,pland,0.026,Banded_Kestrel
Water Bodies,pland,2.902,Banded_Kestrel
Evergreen Needleleaf Forests,pland,0.001,Banded_Kestrel
Evergreen Broadleaf Forests,pland,8.267,Banded_Kestrel
Deciduous Needleleaf Forests,pland,0,Banded_Kestrel
Deciduous Broadleaf Forests,pland,1.251,Banded_Kestrel
Mixed Broadleaf Evergreen/Deciduous Forests,pland,0.046,Banded_Kestrel
Open Forests,pland,6.304,Banded_Kestrel
Sparse Forests,pland,6.92,Banded_Kestrel
Dense Herbaceous,pland,69.058,Banded_Kestrel
Sparse Herbaceous,pland,1.125,Banded_Kestrel
Dense Shrublands,pland,0.391,Banded_Kestrel
Shrubland/Grassland Mosaics,pland,1.39,Banded_Kestrel
Sparse Shrublands,pland,2.32,Banded_Kestrel
Unclassified Land,pland,0,Banded_Kestrel
Barren Land,pland,0.026,Banded_Kestrel
Water Bodies,pland,2.902,Banded_Kestrel
Urban and Built-up Lands,pland,0.018,Banded_Kestrel
Dense Forests,pland,9.564,Banded_Kestrel
Open Forests,pland,13.22,Banded_Kestrel
Natural Herbaceous,pland,69.381,Banded_Kestrel
Herbaceous Croplands,pland,0.789,Banded_Kestrel
Shrublands,pland,4.099,Banded_Kestrel
Unclassified Land,pland,0,Banded_Kestrel
Barren Land,pland,0.026,Banded_Kestrel
Water Bodies,pland,2.902,Banded_Kestrel
Dense Forests,pland,9.394,Banded_Kestrel
Open Forests,pland,13.168,Banded_Kestrel
Woody Wetlands,pland,0.225,Banded_Kestrel
Grasslands,pland,69.763,Banded_Kestrel
Shrublands,pland,4.1,Banded_Kestrel
Herbaceous Wetlands,pland,0.421,Banded_Kestrel
Unclassified Land,pland,0.001,Dickinsons_Kestrel
Barren Land,pland,0.055,Dickinsons_Kestrel
Permanent Snow and Ice,pland,0,Dickinsons_Kestrel
Water Bodies,pland,0.981,Dickinsons_Kestrel
Evergreen Needleleaf Forests,pland,0.001,Dickinsons_Kestrel
Evergreen Broadleaf Forests,pland,1.221,Dickinsons_Kestrel
Deciduous Broadleaf Forests,pland,3.347,Dickinsons_Kestrel
Mixed Broadleaf/Needleleaf Forests,pland,0,Dickinsons_Kestrel
Mixed Broadleaf Evergreen/Deciduous Forests,pland,2.741,Dickinsons_Kestrel
Open Forests,pland,11.084,Dickinsons_Kestrel
Sparse Forests,pland,36.664,Dickinsons_Kestrel
Dense Herbaceous,pland,40.685,Dickinsons_Kestrel
Sparse Herbaceous,pland,0.124,Dickinsons_Kestrel
Dense Shrublands,pland,1.322,Dickinsons_Kestrel
Shrubland/Grassland Mosaics,pland,1.69,Dickinsons_Kestrel
Sparse Shrublands,pland,0.084,Dickinsons_Kestrel
Unclassified Land,pland,0.001,Dickinsons_Kestrel
Barren Land,pland,0.054,Dickinsons_Kestrel
Permanent Snow and Ice,pland,0,Dickinsons_Kestrel
Water Bodies,pland,0.981,Dickinsons_Kestrel
Urban and Built-up Lands,pland,0.129,Dickinsons_Kestrel
Dense Forests,pland,7.309,Dickinsons_Kestrel
Open Forests,pland,47.668,Dickinsons_Kestrel
Forest/Cropland Mosaics,pland,0.032,Dickinsons_Kestrel
Natural Herbaceous,pland,38.923,Dickinsons_Kestrel
Natural Herbaceous/Cropland Mosaics,pland,0.005,Dickinsons_Kestrel
Herbaceous Croplands,pland,1.804,Dickinsons_Kestrel
Shrublands,pland,3.094,Dickinsons_Kestrel
Unclassified Land,pland,0.001,Dickinsons_Kestrel
Barren Land,pland,0.055,Dickinsons_Kestrel
