Bayesian p-value,Fit statistic,Binning,species_city
0.4333,freeman-tukey,sites,American_Kestrel_Boston
0.4018,chi-squared,replicates,American_Kestrel_Boston
0.4868,freeman-tukey,sites,American_Kestrel_Boston
0.5872,chi-squared,replicates,American_Kestrel_Boston
0.3567,freeman-tukey,sites,American_Kestrel_BuenosAires
0.3084,chi-squared,replicates,American_Kestrel_BuenosAires
0.6398,freeman-tukey,sites,American_Kestrel_BuenosAires
0.5517,chi-squared,replicates,American_Kestrel_BuenosAires
0.4686,freeman-tukey,sites,American_Kestrel_Calgary
0.4497,chi-squared,replicates,American_Kestrel_Calgary
0.6039,freeman-tukey,sites,American_Kestrel_Calgary
0.6142,chi-squared,replicates,American_Kestrel_Calgary
0.3631,freeman-tukey,sites,American_Kestrel_Chicago
0.3043,chi-squared,replicates,American_Kestrel_Chicago
0.5535,freeman-tukey,sites,American_Kestrel_Chicago
0.5666,chi-squared,replicates,American_Kestrel_Chicago
0.3219,freeman-tukey,sites,American_Kestrel_Columbus
0.339,chi-squared,replicates,American_Kestrel_Columbus
0.6188,freeman-tukey,sites,American_Kestrel_Columbus
0.4997,chi-squared,replicates,American_Kestrel_Columbus
0.1511,freeman-tukey,sites,American_Kestrel_Dallas
0.1526,chi-squared,replicates,American_Kestrel_Dallas
0.3504,freeman-tukey,sites,American_Kestrel_Dallas
0.363,chi-squared,replicates,American_Kestrel_Dallas
0.1966,freeman-tukey,sites,American_Kestrel_Denver
0.2285,chi-squared,replicates,American_Kestrel_Denver
0.1934,freeman-tukey,sites,American_Kestrel_Denver
0.1988,chi-squared,replicates,American_Kestrel_Denver
0.2851,freeman-tukey,sites,American_Kestrel_Houston
0.2627,chi-squared,replicates,American_Kestrel_Houston
0.1578,freeman-tukey,sites,American_Kestrel_Houston
0.1221,chi-squared,replicates,American_Kestrel_Houston
0.2831,freeman-tukey,sites,American_Kestrel_Indianapolis
0.1678,chi-squared,replicates,American_Kestrel_Indianapolis
0.4832,freeman-tukey,sites,American_Kestrel_Indianapolis
0.5146,chi-squared,replicates,American_Kestrel_Indianapolis
0.339,freeman-tukey,sites,American_Kestrel_Jacksonville
0.3217,chi-squared,replicates,American_Kestrel_Jacksonville
0.382,freeman-tukey,sites,American_Kestrel_Jacksonville
0.3631,chi-squared,replicates,American_Kestrel_Jacksonville
0.3833,freeman-tukey,sites,American_Kestrel_Lima
0.3549,chi-squared,replicates,American_Kestrel_Lima
0.4706,freeman-tukey,sites,American_Kestrel_Lima
0.4994,chi-squared,replicates,American_Kestrel_Lima
0.3633,freeman-tukey,sites,American_Kestrel_LosAngeles
0.3059,chi-squared,replicates,American_Kestrel_LosAngeles
0.6325,freeman-tukey,sites,American_Kestrel_LosAngeles
0.6519,chi-squared,replicates,American_Kestrel_LosAngeles
0.2488,freeman-tukey,sites,American_Kestrel_Miami
0.178,chi-squared,replicates,American_Kestrel_Miami
0.3324,freeman-tukey,sites,American_Kestrel_Miami
0.3522,chi-squared,replicates,American_Kestrel_Miami
0.3394,freeman-tukey,sites,American_Kestrel_Montreal
0.3249,chi-squared,replicates,American_Kestrel_Montreal
0.3806,freeman-tukey,sites,American_Kestrel_Montreal
0.4005,chi-squared,replicates,American_Kestrel_Montreal
0.3997,freeman-tukey,sites,American_Kestrel_NewYork
0.2662,chi-squared,replicates,American_Kestrel_NewYork
0.5199,freeman-tukey,sites,American_Kestrel_NewYork
0.4353,chi-squared,replicates,American_Kestrel_NewYork
0.3869,freeman-tukey,sites,American_Kestrel_Ottawa
0.3,chi-squared,replicates,American_Kestrel_Ottawa
0.3852,freeman-tukey,sites,American_Kestrel_Ottawa
0.3976,chi-squared,replicates,American_Kestrel_Ottawa
0.4808,freeman-tukey,sites,American_Kestrel_Philadelphia
0.5352,chi-squared,replicates,American_Kestrel_Philadelphia
0.488,freeman-tukey,sites,American_Kestrel_Philadelphia
