predictor,importance,Total,importance_stnd,species,LC_type,LC_category
ALAN_mean,11482.22997525929,219854.43723731805,5.222651004703169,American Kestrel,Dense,ALAN
pland_LCCS1_c31_dense_herbaceous,5812.396758491947,219854.43723731805,2.6437477594404233,American Kestrel,Open,Herbaceous Plant Cover
pland_LCCS1_c21_open_forest,5614.923268374405,219854.43723731805,2.553927652737558,American Kestrel,Dense,Forest
pland_LCCS1_c22_sparse_forest,4955.254633786354,219854.43723731805,2.2538797470061933,American Kestrel,Dense,Forest
pland_ASTWBD_c03_lake,3376.3975432692355,219854.43723731805,1.5357422782532433,American Kestrel,Open,Water Body
pland_LCCS1_c14_deciduous_broadleaf,3181.875217277889,219854.43723731805,1.447264497938365,American Kestrel,Dense,Forest
pland_LCCS2_c36_herbaceous_cropland,3121.2862890549104,219854.43723731805,1.4197058418637656,American Kestrel,Open,Cropland
pland_ASTWBD_c01_ocean,2093.8881005994967,219854.43723731805,0.9523974712137766,American Kestrel,Open,Water Body
pland_LCCS2_c25_forest_cropland_mosaic,1876.7927290544296,219854.43723731805,0.8536524223200272,American Kestrel,Dense,Mixed
pland_LCCS1_c15_mixed_broadleaf_needleleaf,1709.8031869800525,219854.43723731805,0.7776978297392447,American Kestrel,Dense,Forest
pland_LCCS1_c32_sparse_herbaceous,1619.8752069205102,219854.43723731805,0.7367944114641471,American Kestrel,Open,Herbaceous Plant Cover
pland_LCCS1_c11_evergreen_needleleaf,1578.178929026339,219854.43723731805,0.7178290094380952,American Kestrel,Dense,Forest
pland_LCCS1_c12_evergreen_broadleaf,1362.088434713714,219854.43723731805,0.6195410253391571,American Kestrel,Dense,Forest
pland_ASTWBD_c02_river,1322.7434133444758,219854.43723731805,0.6016450838864186,American Kestrel,Open,Water Body
pland_LCCS1_c43_sparse_shrubland,1180.4860714648516,219854.43723731805,0.5369398436068845,American Kestrel,Open,Shrubland
pland_LCCS3_c50_herbaceous_wetland,967.006885161319,219854.43723731805,0.43983960356347057,American Kestrel,Open,Wetland
pland_LCCS1_c01_barren,787.2742453540963,219854.43723731805,0.35808885881356434,American Kestrel,Open,Barren
pland_LCCS3_c27_woody_wetland,551.2917501096354,219854.43723731805,0.2507530696387779,American Kestrel,Dense,Wetland
pland_LCCS1_c42_shrubland_grassland_mosaic,456.30851330999326,219854.43723731805,0.2075502860183072,American Kestrel,Open,Mixed
pland_LCCS1_c41_dense_shrubland,359.4149268575266,219854.43723731805,0.1634785867294379,American Kestrel,Open,Shrubland
pland_LCCS3_c51_tundra,248.51954091731164,219854.43723731805,0.11303821930555422,American Kestrel,Open,Tundra
pland_LCCS1_c16_mixed_broadleaf_evergreen_deciduous,245.22184205009708,219854.43723731805,0.11153827283703928,American Kestrel,Dense,Forest
pland_LCCS1_c13_deciduous_needleleaf,55.55941849829048,219854.43723731805,0.02527100166657898,American Kestrel,Dense,Forest
pland_LCCS1_c02_permanent_snow_ice,20.685882264197257,219854.43723731805,0.00940889914442265,American Kestrel,Open,Snow & Ice
pland_LCCS2_c35_natural_herbaceous_cropland_mosaic,7.768427020513321,219854.43723731805,0.00353344108862712,American Kestrel,Open,Mixed
pland_LCCS1_c22_sparse_forest,1.6714016091086925,42.1551433602029,3.964881805351895,Banded Kestrel,Dense,Forest
pland_LCCS1_c31_dense_herbaceous,1.4943157225453385,42.1551433602029,3.5448004761290086,Banded Kestrel,Open,Herbaceous Plant Cover
pland_LCCS1_c12_evergreen_broadleaf,1.3495806946740136,42.1551433602029,3.201461523075029,Banded Kestrel,Dense,Forest
pland_LCCS1_c14_deciduous_broadleaf,1.2674235792271291,42.1551433602029,3.0065692539517177,Banded Kestrel,Dense,Forest
ALAN_mean,1.005503623359586,42.1551433602029,2.3852454130397867,Banded Kestrel,Dense,ALAN
pland_LCCS1_c21_open_forest,0.930693806753598,42.1551433602029,2.207782331093272,Banded Kestrel,Dense,Forest
pland_LCCS1_c42_shrubland_grassland_mosaic,0.8410416077984842,42.1551433602029,1.9951103015165648,Banded Kestrel,Open,Mixed
pland_ASTWBD_c01_ocean,0.49024448874133086,42.1551433602029,1.1629529629453292,Banded Kestrel,Open,Water Body
pland_LCCS1_c41_dense_shrubland,0.3606054392700073,42.1551433602029,0.855424535480151,Banded Kestrel,Open,Shrubland
pland_ASTWBD_c02_river,0.20979212517124424,42.1551433602029,0.4976667339940805,Banded Kestrel,Open,Water Body
pland_ASTWBD_c03_lake,0.1993627913621111,42.1551433602029,0.4729263749825652,Banded Kestrel,Open,Water Body
pland_LCCS1_c43_sparse_shrubland,0.06470399331858065,42.1551433602029,0.15349015128641522,Banded Kestrel,Open,Shrubland
pland_LCCS3_c50_herbaceous_wetland,0.0405692682398973,42.1551433602029,0.09623800325679176,Banded Kestrel,Open,Wetland
pland_LCCS1_c32_sparse_herbaceous,0.03499034021777125,42.1551433602029,0.0830037272528987,Banded Kestrel,Open,Herbaceous Plant Cover
pland_LCCS1_c16_mixed_broadleaf_evergreen_deciduous,0.01278020339875178,42.1551433602029,0.03031706781198399,Banded Kestrel,Dense,Forest
pland_LCCS2_c36_herbaceous_cropland,0.01103074481003379,42.1551433602029,0.02616702003781468,Banded Kestrel,Open,Cropland
pland_LCCS3_c27_woody_wetland,0.01053050371012635,42.1551433602029,0.02498035321608658,Banded Kestrel,Dense,Wetland
pland_LCCS1_c01_barren,0,42.1551433602029,0,Banded Kestrel,Open,Barren
pland_LCCS1_c02_permanent_snow_ice,0,42.1551433602029,0,Banded Kestrel,Open,Snow & Ice
pland_LCCS1_c11_evergreen_needleleaf,0,42.1551433602029,0,Banded Kestrel,Dense,Forest
pland_LCCS1_c13_deciduous_needleleaf,0,42.1551433602029,0,Banded Kestrel,Dense,Forest
pland_LCCS1_c15_mixed_broadleaf_needleleaf,0,42.1551433602029,0,Banded Kestrel,Dense,Forest
pland_LCCS2_c25_forest_cropland_mosaic,0,42.1551433602029,0,Banded Kestrel,Dense,Mixed
pland_LCCS2_c35_natural_herbaceous_cropland_mosaic,0,42.1551433602029,0,Banded Kestrel,Open,Mixed
pland_LCCS3_c51_tundra,0,42.1551433602029,0,Banded Kestrel,Open,Tundra
ALAN_mean,16.256536951282445,211.9235997038351,7.670942251830888,Dickinsons Kestrel,Dense,ALAN
pland_LCCS1_c22_sparse_forest,7.568305950896012,211.9235997038351,3.5712426371922614,Dickinsons Kestrel,Dense,Forest
pland_LCCS1_c31_dense_herbaceous,6.344672690423501,211.9235997038351,2.9938490565893705,Dickinsons Kestrel,Open,Herbaceous Plant Cover
pland_ASTWBD_c02_river,4.078367119994253,211.9235997038351,1.924451606944108,Dickinsons Kestrel,Open,Water Body
pland_LCCS3_c50_herbaceous_wetland,2.780605461429816,211.9235997038351,1.3120791951985216,Dickinsons Kestrel,Open,Wetland
pland_ASTWBD_c01_ocean,2.54806811026427,211.9235997038351,1.2023522221334553,Dickinsons Kestrel,Open,Water Body
pland_LCCS1_c21_open_forest,2.0985955370612164,211.9235997038351,0.9902604240367852,Dickinsons Kestrel,Dense,Forest
pland_ASTWBD_c03_lake,2.05988528951155,211.9235997038351,0.9719942905793671,Dickinsons Kestrel,Open,Water Body
pland_LCCS2_c36_herbaceous_cropland,1.4786504318509597,211.9235997038351,0.697728065169422,Dickinsons Kestrel,Open,Cropland
pland_LCCS1_c12_evergreen_broadleaf,1.142835485314517,211.9235997038351,0.5392676827458758,Dickinsons Kestrel,Dense,Forest
pland_LCCS1_c14_deciduous_broadleaf,0.956342976255392,211.9235997038351,0.4512678048088504,Dickinsons Kestrel,Dense,Forest
pland_LCCS1_c41_dense_shrubland,0.851920947861406,211.9235997038351,0.401994373940407,Dickinsons Kestrel,Open,Shrubland
pland_LCCS1_c42_shrubland_grassland_mosaic,0.7890024312849895,211.9235997038351,0.37230512901235474,Dickinsons Kestrel,Open,Mixed
pland_LCCS1_c16_mixed_broadleaf_evergreen_deciduous,0.5955366171576484,211.9235997038351,0.281014770412505,Dickinsons Kestrel,Dense,Forest
pland_LCCS3_c27_woody_wetland,0.344770154194779,211.9235997038351,0.162686059823728,Dickinsons Kestrel,Dense,Wetland
pland_LCCS1_c32_sparse_herbaceous,0.22507865071860728,211.9235997038351,0.10620744977584208,Dickinsons Kestrel,Open,Herbaceous Plant Cover
pland_LCCS2_c25_forest_cropland_mosaic,0.1044130527141677,211.9235997038351,0.04926919553088272,Dickinsons Kestrel,Dense,Mixed
pland_LCCS1_c01_barren,0.03523097000014907,211.9235997038351,0.01662437314644741,Dickinsons Kestrel,Open,Barren
pland_LCCS1_c43_sparse_shrubland,0.03270567887158367,211.9235997038351,0.01543276865686035,Dickinsons Kestrel,Open,Shrubland
pland_LCCS1_c11_evergreen_needleleaf,0.00242874458874458,211.9235997038351,0.00114604725105593,Dickinsons Kestrel,Dense,Forest
pland_LCCS2_c35_natural_herbaceous_cropland_mosaic,1.8115942028985895e-4,211.9235997038351,8.548336312851929e-5,Dickinsons Kestrel,Open,Mixed
